111_010111010010 000_011101011110 000_010110100100 000_110010100000
111_101000011101 111_010011010100 111_000011110111 111_000000110000

000_110010100011 000_000001011001 000_010111100110 000_011111011111
000_001010001110 111_100100101011 000_101101001000 000_011101100001
111_101011000101 000_111111011001 000_111000010111 111_001100100101
000_100110101011 000_010011101000 111_100110010000 000_101101010110

000_100111111101 111_101011110100 111_111101000101 111_010100000010
111_111010101010 000_011101111001 000_011000001011 000_110101110001
111_111100001100 000_110101000100 111_101110111011 111_011111000001
111_010111111101 111_100111001011 000_010001111000 111_110101000110

000_010110110100 111_010000101111 000_110101001011 111_001111110000
000_100100101110 000_010111101111 111_000110111101 000_000100101001
000_000001010111 000_010000010000 111_110101000001 111_100110010111
111_110100101010 000_001110111100 000_110000101001 000_000000110101

000_010000010000 000_100110010101 111_000100101011 111_111111001010
111_000100011100 111_100010011001 000_010101110000 111_000110101101
000_100110010101 111_110100001010 000_001100000111 000_110000110011
111_001111001101 111_110101111111 000_011010000100 000_011000110000

000_010110101101 111_000100101101 111_010110101000 111_101100001111
000_000101110110 111_111100110001 111_111110011000 111_001111000001
111_010001111100 000_111000010000 111_110011100110 111_010010001000
111_001111001000 111_001100101110 111_001101011111 000_000100100101

000_111000100000 000_100101100011 000_111100010110 000_110000100011
111_010010010001 000_101001011100 000_000100110011 000_001001010110
111_111000010111 111_110000011111 000_010011000011 111_101110101000
111_010100000101 111_000100110001 111_011010011110 111_101001010110

111_100000110000 111_000111101100 111_000010101000 111_101011011100
111_101111101001 000_011001100000 000_000101100100 000_111100011010
111_100001010100 000_000100011100 000_000000101101 000_011001101000
111_000000111110 111_011010101010 111_011111000000 111_110010011110

000_010100100000 111_011100101011 000_011101101001 000_111000101100
000_000101111010 111_101010011011 000_110110111011 111_010101000010
000_101010101101 111_101110110111 000_101011111100 000_011101110000
111_011110101101 111_001100010010 000_111111110110 111_010101011000

111_101110001110 111_111100010000 111_100011010000 000_011000110110
000_110110001100 000_001011101101 111_111110111100 111_111010100011
000_111101010000 111_010011100010 111_110110001100 111_001100010011
111_011110101000 111_010010010010 111_011101000010 000_001011001100

000_100001100011 111_100101001101 000_111010101001 111_111100010110
111_100001001111 111_110000011010 000_000000101000 000_010001011110
000_011010111011 111_000011000010 000_010110101011 000_011010010000
000_110010011011 000_010010010110 111_100000110010 000_100000100011

111_101010011101 000_001100011111 000_001111110010 000_010110101110
111_111011100110 111_100011111000 000_111100111000 000_011111101100
000_000111111110 111_001011001101 000_010100101100 111_001110011001
111_100110000100 111_110111110011 000_100110101100 111_011010101100

000_101010101101 111_001100011001 111_011100111100 000_110010000010
000_010000000100 111_110111000100 000_111100101100 000_110110101111
111_110000011110 111_000010111110 111_000011011111 000_100001101100
111_110001101000 000_011110000010 000_011001101010 111_111000011001

000_010100100001 000_100110100111 111_010011010100 111_111000100111
000_101001100110 111_110010111000 000_001100011100 000_111000000010
111_010101011000 111_110100101011 111_001000110110 000_001110011001
111_111011011010 111_101010011111 111_010001000101 111_100101101000

111_100010110000 000_110011111000 000_100010111011 000_000110001010
111_111101011000 111_001111010001 111_100100001111 000_000100110101
111_000011100111 000_110101111111 111_000000111011 111_110101111010
000_010010000010 111_101000100011 000_110011011000 000_111100110001

111_100100011100 000_001000010111 111_000011111101 111_000100110111
111_111101011011 000_111110011101 111_101010001111 000_101100110101
111_100011111101 000_110010101101 000_010100001001 111_001100110110
111_110110101100 111_100010111111 111_111100001110 000_110001100111

000_111111000011 111_000111010001 000_101011101110 111_001100001011
111_000000111101 000_101000011110 111_111100100110 111_111111110001
000_000101110100 000_011010000110 111_110100011010 000_001000100101
111_100100000011 000_001000100111 000_010100010000 000_110011110010

000_100101100111 000_001111100000 111_010001111001 000_000110100001
111_100110101111 111_110010100000 000_110111011011 000_000001101000
000_011100010011 111_010110010111 000_101000101110 111_101000101010
111_101010010101 111_011001100000 111_010010100000 111_000100000001

000_101111001010 111_101101010010 000_000010101101 000_011010001101
000_010101000100 111_101010000000 111_001010111101 000_001010001011
000_010000000011 000_110111110101 111_100000011010 000_100111100111
000_110001000011 111_001111101101 000_100001100011 111_111101010010

000_101011110001 000_001011101000 111_100100101111 111_111100111101
000_001011011010 111_010101110010 111_101010001001 000_111111010001
111_010011000111 111_110011000011 000_000101011011 000_010000001110
111_001000011000 000_111110000101 000_111011110101 000_110010000011

000_010110000100 111_011100000001 111_101011010110 000_011100100110
111_101101010110 111_011001110110 111_101010110101 111_010101101010
000_000001010100 000_000000011010 111_011111011100 000_010000001110
000_100010101010 111_110010010001 000_010100101010 000_010001100101

111_101100010110 111_101110110000 000_110011101000 111_000111011011
000_101010001001 111_001100111000 111_011100111011 111_010101011011
111_011001100001 111_000100010001 000_111111011111 111_001000100100
111_101010111010 000_101100111110 000_101001010010 000_100100100100

000_010111000011 000_100100000101 111_001001011000 111_000011101101
111_101101011010 000_010000101000 000_100100100001 111_110100101110
000_111110101000 000_101111111010 000_111001110001 000_101111011011
111_111001001011 111_110101001010 111_101111101001 000_101011100010

000_100110011011 000_001111101010 111_110000000010 000_010100100011
000_000100000011 000_100100011110 111_110111010001 000_111011110001
000_010111110110 000_110111111101 000_110111000100 000_101001110010
111_001111010111 000_100001000001 000_111011100001 000_010011101111

111_011011011101 111_111010001111 000_000000100101 111_010100010001
111_010000001010 000_101110111110 111_010100111111 000_110000001100
111_110001101001 000_011100011000 000_110000001111 000_001000100001
000_010010100001 000_110001000101 000_000001101111 111_101010111100

000_110101000001 111_110101111011 111_011000011000 111_010000001111
000_010101001011 111_100000110110 000_110010011011 000_110110101111
111_100111110111 000_111110100101 000_111010001100 111_101001110110
111_101110010110 000_110111010110 111_001011010011 000_100101000000

000_110111100111 000_011111011001 000_101001000110 000_001111010000
000_001011110111 000_001010000001 000_100110001010 000_110000111100
000_011111010101 000_001011101011 000_100100111011 000_101000011001
000_011001110110 111_011111001110 000_101110110100 000_011010001110

111_100100101000 111_000000101111 000_000100110100 111_010100000000
000_001110000011 111_000101010100 111_011010110110 111_101010110111
111_101010100111 111_001000010100 111_000011100000 000_001001000100
000_011011100110 111_100110111010 111_001010011001 111_110001010001

111_111001011110 000_100001100100 111_101001001000 000_101111110101
000_011101011101 000_100010010101 111_110001101000 111_101001000111
000_111100000100 000_101110101001 000_010110011100 000_000011100111
000_101011110010 000_101100101111 000_011101011111 000_111111101001

111_001110111011 000_101110111100 111_110011000010 111_100011011101
111_000111111000 000_000011010011 111_010000001001 111_000011110011
000_000111000110 000_110011100000 000_011010011001 111_111110111100
111_011000010110 111_001100011000 111_000111011100 000_111010110111

000_000101011011 000_101111100110 000_101001010000 111_000011111000
000_000110010110 000_001111110011 000_110001000100 111_100000110000
000_100110011001 111_001000011101 000_001101100111 000_100000010111
111_010011111011 111_000010100000 111_001010111111 111_111010111010

000_101000100100 000_011010111010 111_101110010101 000_001010000100
000_010110111000 000_100000000011 111_110111110010 111_000100011001
111_101010000100 000_010111000101 000_101011000011 111_010011110000
111_001111110111 111_010000001110 111_001001101001 000_001010110111

111_011110010011 000_010001101000 000_101000100010 111_110011010111
000_111011011101 000_110001010011 000_000010011101 000_010010000101
111_000110110111 000_101110101100 111_000010001000 111_011001011001
000_110101010001 000_001011101111 000_100001001101 111_011001111010

111_110101011110 111_000001111000 000_000110100000 000_010111001100
000_110110100110 111_000110110100 111_011111100100 000_111110101111
000_101100000101 111_101000000100 111_000100001010 000_001110011011
111_001110010001 111_101101010110 111_101100010111 111_010011000100

000_001010101001 111_100111011001 000_011010100000 111_111111111000
111_110011001010 000_101100101111 111_001110000010 111_001000101011
111_100100011011 111_100111111111 000_100100101010 000_110010111100
000_000100011001 000_100000010100 000_001001100111 000_010110001010

111_000010000010 111_000101000001 000_111001000001 000_101010010100
111_011111000011 000_100111010111 000_101111111000 111_010101111100
111_100111111100 111_001000011101 111_010100110001 000_110010100100
000_111101001011 000_101010100000 000_101000011101 000_101101110001

000_111010010100 111_101010000110 111_001001101000 111_101001000010
111_011101101011 111_111111100011 000_010000000011 000_010010000011
111_010001001100 000_111011001000 000_100100111101 111_111110001110
111_010111111101 000_011010010111 111_000111001010 111_110000101000

111_100011001111 111_110010000001 111_111011001101 000_001111000110
000_101010001101 111_001111110110 111_111001000001 000_000001000101
000_111010101001 000_011100010010 111_001101101001 000_010101000100
000_000001011000 000_100111100110 000_011111010111 000_000010110001

111_011011110110 111_111100001000 000_000101101010 111_011001010100
000_110000111110 000_011111011011 111_010000111011 111_110101111011
111_001110010001 000_001011100010 000_111010100011 111_101001110100
000_011000100101 111_111001010110 111_110000001101 111_010010100001

111_001100001000 111_100011000110 111_010011111111 000_100101001101
111_111010111010 000_110101111101 000_100010101011 000_101111100001
000_101000111110 000_111000011100 000_011101100001 000_011111011111
111_011011001100 000_001011000101 111_100110111010 111_101001001101

000_001001100101 111_000011111110 000_001000111111 111_101010111000
000_001111100010 111_001011101011 000_110010011101 111_100011001011
111_000000111011 000_110110001100 000_101010000101 000_000010011111
111_000110010110 000_100101101110 000_011111000111 111_010101111001

111_111110100001 111_101010011101 111_101100010101 111_110000000110
111_000111001110 111_101100001100 000_001100001100 000_101010011011
000_110101100100 111_100100111001 000_110011110001 111_000010101001
111_100000111100 000_000010100010 111_101101100000 111_010010101010

111_001111101110 000_101110000001 111_001100110100 111_000111000101
000_010111110110 111_111111111011 000_010110011100 111_111011110010
000_000100111100 000_001000110110 111_111011000010 000_101001011100
111_110001001110 111_111010110101 111_000100010110 000_111010001011

000_011100111011 000_101000110010 000_011010111101 000_000110011111
111_001010011101 111_111100101110 000_001101111111 000_100000001100
111_111111011000 111_110010111101 000_100010100001 000_100010101111
111_110000011000 111_000100000110 111_111110000101 111_010100010011

000_111111100110 111_010011100001 000_100001001111 111_000011110000
111_101001010101 111_110101010001 000_010011101101 000_101011010011
000_101011010110 111_100000110001 111_000011101001 111_010011110110
000_101001000010 000_111111101010 000_011100001010 111_100011011010

111_100101101100 111_110110001000 111_011000100111 000_000011010001
111_101010010001 000_111000101010 111_000111111110 111_000100001111
111_010111100110 000_101110100011 000_101001000010 111_101010000101
111_100100111110 111_001001100100 111_010011000111 000_100000001000

000_000101100010 111_101001110000 000_010111001101 000_101011100000
000_000111101011 000_110011100011 000_011010001110 111_100001011001
111_001010110000 111_010010000010 111_001001101100 111_010011110100
000_010011111010 000_101010000010 000_100110010101 000_010101001110

000_010111000000 111_101110001110 111_110011100011 000_100110010110
000_100010110011 111_110001000111 111_000000110010 111_111111100111
000_111011011100 111_010001010001 000_101100011101 000_111101010010
000_101101110110 111_100110110010 000_100011010011 000_001011110110

000_101010001011 111_001101010111 111_110110001111 000_100000111000
111_111010110111 111_011001111011 111_111010111110 111_011100111101
111_110100000101 000_110000000000 111_110000110111 111_110100001110
111_101000010110 111_001000010111 111_111000001101 000_111110100100

111_010010100000 000_110001110101 111_100100000010 111_011111101101
000_000000010110 000_001001010001 111_111000001101 000_111101110110
111_010011000110 000_001100101101 000_111100111010 111_100111000010
111_111001011100 000_100101000010 000_100000001010 000_010110011010

000_001111001101 000_100100000111 111_011011111110 111_000111010000
111_100111110011 000_001101011100 000_110011110010 000_001111001111
000_010111110111 000_011001011001 000_000101101110 000_010010011101
000_000010101110 111_100100101001 000_110000110100 000_010010000100

000_100010110100 000_001001011101 000_110000101111 000_001101011010
111_100001101111 000_111000011111 000_000101011010 000_101111110101
111_001011101101 111_011000110000 000_011111011110 000_110101111101
000_101100101010 000_010000011010 000_010000011100 000_011100111011

000_011101101011 000_110001010110 111_100111011001 111_010110111001
000_011110001001 000_011111011111 111_100001011100 111_101011111100
000_110001011110 111_101111100001 111_001011000001 111_000010001101
000_011001011101 111_001011111101 111_000001100001 000_011010001000

111_001110001110 000_100011101101 111_000110010000 000_010010111001
111_010010111010 000_010000110010 000_110010000010 111_011000101010
000_001010000010 111_001100011000 000_011111011111 111_010000000010
111_111001010011 111_000110001111 000_100010010010 111_000101101010

111_111000101110 111_101101101001 111_011010011110 000_110011000010
111_100110011010 111_010001110111 111_000110000000 111_010110110100
111_111111100011 000_001100100101 111_001010101100 111_101001011100
111_000110100111 000_100111001110 000_010110011000 111_110100110101

000_101100101110 111_101010100101 000_110111111110 111_000010001110
000_100100001000 000_101010100001 000_011011101010 000_001111110010
000_110101010111 000_000101110000 111_101011000100 000_001011111110
000_101100100101 111_110011011100 000_100111001000 000_000110001011

000_110110111100 000_011110000001 000_010000111011 000_011110001100
111_100010010110 000_101111110010 111_110110101101 111_010100001001
111_010000100011 111_101010011011 000_000100000001 111_110010000000
000_001010001001 000_101101010110 111_100101110011 000_000110111001

111_100001001110 000_010001001111 111_110101000010 111_111011010110
000_110100111110 000_111010001001 111_000001111001 111_000000111011
000_001010101110 111_101000010000 000_010101100011 000_110100010010
000_011100011010 111_010011011101 000_100101000000 000_110000001110

000_010110011001 000_100000110111 111_100111010001 000_100000100001
000_000100100101 111_011111010110 000_111100011001 111_111001001110
111_001010110100 000_100100111111 000_000100110011 000_001100100100
000_100110110001 000_000111010101 111_011110111111 111_100011100100

000_010111111100 000_100111001010 111_001110011101 000_001001101000
000_000010111111 000_100001111010 111_110100101001 000_010010101001
111_000011100011 111_111011010111 111_000111110001 000_011011111001
111_101001100110 111_110101111110 111_011010110000 111_100111000101

000_000001110001 000_100010010110 111_111111110010 000_100101111110
000_110100110011 000_110110001110 111_110011001011 000_011001100010
111_000100000101 111_011001011111 111_011111100100 000_101111001000
111_101110110100 111_000010000111 000_100110101011 111_101100101010

000_001000101001 000_011100010101 000_011011011000 000_101011010001
000_010011001000 111_010000011011 111_111101010000 111_110010010100
000_001000010100 111_000001001110 000_010001101110 111_000010100010
000_001111001100 111_101110111110 000_100100110100 000_001110000011

111_110000010110 111_101110100011 000_110110010111 111_010110100001
000_001100001111 111_010010001011 000_010010010010 000_100100100111
111_001110000110 111_101011000000 000_111100110100 111_100010010111
111_011100111111 000_010100001100 000_001011011001 111_100101111100

000_011110110111 111_001011011010 000_010001110101 000_100001001110
111_001010000001 000_001110101101 000_110001111001 000_111101110000
000_111110100000 000_011111100101 111_101100111100 000_100011110111
000_010110101000 000_011110001110 000_010100001100 000_001010011101

111_110011110101 000_000101111111 111_001101101001 111_011000111101
000_101010011001 000_111111000001 000_110011100001 000_111100010111
111_111010111001 000_100100101001 111_100110001111 111_111010110101
111_001011001010 111_111010101000 000_110111110011 111_000001111000

000_000101000000 111_100101111110 000_101101101001 000_100101110010
111_010000010000 000_100101110001 111_111000101111 000_100110110010
000_000101011100 000_001110011010 000_101100101001 000_110101100001
111_100011000110 111_110101000100 000_000101110011 000_011110101100

111_100000101010 000_001000010011 000_110100110101 000_111000001100
111_111011000010 111_110101001000 000_100011100100 111_000000110000
000_101111111000 111_110000010110 000_001011110011 111_001101111111
000_011000111111 111_000110111111 111_101000110110 111_100001100010

000_110110100011 111_110001000000 000_000100000010 111_110110000001
111_111111001010 000_000010001000 000_010111111010 000_011011100001
000_111010111000 111_011110101011 000_011110100100 111_110111100111
000_111100111010 000_110011000110 111_010111001110 111_110010000000

111_011111100110 111_110111010011 000_010010001001 000_101111000000
111_101001010110 000_111101101110 111_011011001111 111_001110001000
000_100110011011 000_000111110000 111_010111010111 111_000001110011
000_011001000010 111_110011111011 111_111111100001 000_010000100100

111_001111000101 000_000100001110 111_011101111101 000_100110101011
000_000000010010 111_111010100001 000_110010001010 111_110100001100
000_111101110011 000_010010111100 000_001001100101 111_011010011000
000_111011001000 111_011111111101 000_001001111001 000_111000010100

000_001011111101 000_101011000011 000_110010000100 111_010011011001
111_111100110001 111_001010001101 000_101111000101 111_011101001100
